s0_km,s1_km,n_shots,swath_m,elev_m,slope,rms_resid_m,primary_class,scan_noise_sigma_m,rms_1-2m,rms_2-4m,rms_4-8m,rms_8-16m,rms_16-32m,rms_32-64m,aniso_1-2m,aniso_2-4m,aniso_4-8m,aniso_8-16m,aniso_16-32m,aniso_32-64m,best,dbic_second,g_sigma,g_l,g_runs_p,e_sigma,e_l,e_runs_p,pl_H,pl_beta,pl_A,pl_runs_p,nugget_sigma,along_best,along_g_l,cross_best,cross_g_l,along_pl_H,cross_pl_H,grid_fill_1m,S_60MHz_best_m4,S_195MHz_best_m4,S_300MHz_best_m4,S_400MHz_best_m4
18,19,71843,419.6,1586.5,0.0024979,0.078632,same,0.050348,0,0.020846,0.024295,0.018193,0.015541,0.026166,,2.0054,0.8756,0.87839,0.99482,1.7311,powerlaw,3.5593,0.047333,2.5087,3.6101e-05,0.050898,4.4355,0.012853,0.19668,2.3934,4.9996e-05,3.0497e-05,0.025505,powerlaw,2.3839,exponential,3.1521,0.20115,0.16154,0.14165,2.894e-05,1.622e-06,6.1462e-07,3.0873e-07
19,20,74312,349.99,1585.5,0.00092716,0.075048,same,0.064463,0.0079339,0.023478,0.023397,0.019386,0.016335,0.026539,,1.1859,1.0919,1.0167,0.64259,1.8374,exponential,6.4259,0.048008,2.7535,2.9899e-05,0.052143,5.1525,0.0036341,0.21327,2.4265,5.0226e-05,2.9899e-05,0.025505,powerlaw,2.8089,exponential,3.1154,0.23162,0.18615,0.1774,4.0851e-05,1.139e-06,3.3809e-07,1.4272e-07
20,21,71139,439.54,1582.8,0.0070327,0.11728,same,0.058555,0.015264,0.02614,0.017951,0.020631,0.024696,0.039814,,0.45841,,0.72512,1.4598,2.2698,powerlaw,18.124,0.053311,3.0277,0.0032732,0.06384,9.0002,0.0032732,0.28701,2.574,5.7073e-05,4.3986e-05,0.025505,powerlaw,2.9054,powerlaw,1.7869,0.27637,0.15493,0.13828,3.17e-05,1.4294e-06,5.0339e-07,2.4006e-07
21,22,73736,368.81,1577.9,0.0091016,0.19675,same,0.045777,0,0.023588,0.021817,0.02443,0.032994,0.056138,,1.1033,1.0714,0.84049,1.1066,2.0558,powerlaw,21.986,0.065214,5.9381,1.2497e-05,0.098118,29.847,1.2497e-05,0.3717,2.7434,5.661e-05,0.00032534,0.025505,powerlaw,4.387,powerlaw,4.5392,0.34712,0.25558,0.1677,3.025e-05,1.1124e-06,3.6574e-07,1.6612e-07
22,23,72720,275.71,1573.1,0.0089535,0.15222,same,0.043375,0,0.021867,0.020806,0.022041,0.028651,0.046461,,1.3263,0.95623,0.79448,1.0415,1.9646,powerlaw,29.002,0.057283,4.9784,1.7922e-05,0.077307,19.461,2.0079e-05,0.33967,2.6793,5.0948e-05,0.00051901,0.025505,powerlaw,3.7124,exponential,4.6797,0.29828,0.24735,0.22345,2.7626e-05,1.0973e-06,3.7028e-07,1.7131e-07
23,24,71956,370.23,1564.1,0.011856,0.11503,same,0.059919,0,0.025613,0.019689,0.020235,0.019501,0.033641,,1.4517,0.61231,0.95659,0.24865,1.8267,powerlaw,28.224,0.050929,2.3886,0.0005576,0.056975,5.3048,0.0079975,0.22321,2.4464,5.9307e-05,0.0079975,0.025505,powerlaw,1.8333,exponential,4.0238,0.19761,0.22411,0.16186,3.3915e-05,1.7832e-06,6.6133e-07,3.2716e-07
24,25,72606,344.16,1552.9,0.0098519,0.08636,same,0.040839,0.023413,0.030028,0.015177,0.016523,0.015518,0.031476,,1.6792,0.60181,0.84399,0.97753,2.0255,powerlaw,4.0779,0.052734,1.9206,0.0005576,0.056248,3.3235,0.024904,0.18111,2.3622,6.5086e-05,0.00010444,0.025505,powerlaw,1.7859,exponential,2.6952,0.18596,0.15292,0.1775,3.7943e-05,2.2079e-06,8.4727e-07,4.2943e-07
25,26,71500,360.03,1545.3,0.0075181,0.13255,same,0.048579,0.01703,0.032186,0.024406,0.019788,0.022628,0.040724,,0.6434,,0.98632,2.0182,1.9297,powerlaw,15.133,0.059696,2.35,0.0005576,0.066416,5.1359,0.0022026,0.22991,2.4598,8.1209e-05,0.00010444,0.025505,powerlaw,2.2302,exponential,1.9677,0.2248,0.13247,0.17165,4.6298e-05,2.3954e-06,8.8353e-07,4.354e-07
26,27,72409,338.43,1540.9,0.0069687,0.14646,same,0.045472,0.011499,0.027175,0.024806,0.015898,0.022571,0.04527,,1.2624,0.93513,0.46436,2.3002,1.8803,powerlaw,31.194,0.057936,2.2821,2.0079e-05,0.06552,5.3961,0.00051901,0.23116,2.4623,7.7834e-05,0.00011051,0.025505,powerlaw,2.1953,exponential,2.3905,0.224,0.12873,0.18578,4.4349e-05,2.2876e-06,8.4294e-07,4.151e-07
27,28,71387,365.27,1537.4,0.008417,0.16323,same,0.048475,0.0024599,0.022741,0.023683,0.016164,0.024967,0.046848,,2.3819,0.8609,0.62241,1.4649,2.3838,powerlaw,31.615,0.056145,2.5963,3.2417e-05,0.067086,7.7412,3.2417e-05,0.25162,2.5032,7.0804e-05,0.012853,0.025505,powerlaw,2.2763,powerlaw,2.5641,0.23447,0.14273,0.16809,3.9968e-05,1.9626e-06,7.1126e-07,3.4616e-07
